Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Fixed modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
WCL_PC3_2	WCL_PC3_2	1	Trypsin/P;LysC	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		18043	122241	0	145769	98713	0	47056	39589	37716	0	1873	27.16	38.21	NaN	3.98	29566	2332279	109015	4.67	6716	6.16	284525	82638	80967	29.04	31.37	12544	15.18	+	0.42702	0.6153	0.30825	0.47655	
WCL_PC3_3	WCL_PC3_3	1	Trypsin/P;LysC	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		19040	116968	0	139238	94698	0	44540	35047	33587	0	1460	25.17	35.47	NaN	3.28	26309	2181547	104561	4.79	6284	6.01	267805	79278	77844	29.6	31.98	12052	15.2	+	0.42553	0.6201	0.30696	0.47502	
WCL_RWPE1_1	WCL_RWPE1_1	1	Trypsin/P;LysC	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		18903	119034	0	146889	91179	0	55710	36313	34442	0	1871	24.72	37.77	NaN	3.36	26024	2224755	104339	4.69	6958	6.67	255801	74938	73467	29.3	31.77	12662	16.9	+	0.40354	0.58359	0.28786	0.44496	
WCL_RWPE1_2	WCL_RWPE1_2	1	Trypsin/P;LysC	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		18816	119343	0	145699	92987	0	52712	39183	37103	0	2080	26.89	39.9	NaN	3.95	28013	2156855	104709	4.85	7088	6.77	253834	76234	74743	30.03	32.57	12878	16.89	+	0.40995	0.59296	0.29635	0.45636	
WCL_RWPE1_3	WCL_RWPE1_3	1	Trypsin/P;LysC	Specific			False	Oxidation (M);Acetyl (Protein N-term)	Carbamidomethyl (C)			False	False	1	2		Standard		18809	118507	0	144271	92743	0	51528	39857	37806	0	2051	27.63	40.76	NaN	3.98	27816	2061435	103587	5.02	7319	7.07	244929	75260	74032	30.73	32.89	13075	17.37	+	0.41627	0.60498	0.30535	0.47102	
WCL_22Rv1_1																																		31636																		
WCL_22Rv1_2																																		29544																		
WCL_22Rv1_3																																		32846																		
WCL_DU145_1																																		32920																		
WCL_DU145_2																																		33014																		
WCL_DU145_3																																		30339																		
WCL_LNCaP_1																																		31583																		
WCL_LNCaP_2																																		34024																		
WCL_LNCaP_3																																		30470																		
WCL_PC3_1																																		30613																		
WCL_PC3_2																																		29566																		
WCL_PC3_3																																		26309																		
WCL_RWPE1_1																																		26024																		
WCL_RWPE1_2																																		28013																		
WCL_RWPE1_3																																		27816																		
Total																			278083	1801141	0	2158907	1443375	0	715532	608092	580271	0	27821	28.17	40.2	NaN	3.89	75800	33559495					4068407	1202122	1179458	29.55	31.89	188342	15.67		0.42287	0.61407	0.3063	0.47543	
